Campaign Type,Placement,Device,Spend,Impressions,Views,Clicks,Conversions,Ad Type,date
Prospecting,Facebook Audience Network,Mobile,90.34,2258,646,32,31.0,Infographic,2023-12-29
Retargeting,Facebook Audience Network,Desktop,96.81,1936,797,79,46.0,Infographic,2023-12-29
Prospecting,GDN,Desktop,67.25,1681,76,3,15.0,Product,2023-12-28
CRM,Facebook News Feed,Mobile,68.01,1496,80,5,15.0,Product,2023-12-28
Prospecting,Instagram,Mobile,105.65,2641,553,27,31.0,Infographic,2023-12-28
CRM,Instagram,Desktop,67.75,1490,635,44,31.0,Infographic,2023-12-28
Prospecting,Facebook Audience Network,Desktop,74.43,1860,741,37,31.0,Product,2023-12-28
Retargeting,GDN,Desktop,81.13,1622,201,20,15.0,Infographic,2023-12-28
CRM,Facebook News Feed,Desktop,61.45,1351,446,31,15.0,Lifestyle,2023-12-28
Retargeting,Facebook News Feed,Mobile,117.46,2349,106,10,15.0,Product,2023-12-28
Prospecting,Instagram,Mobile,74.19,1854,291,14,15.0,Infographic,2023-12-28
Retargeting,Facebook Audience Network,Desktop,94.19,1883,802,80,46.0,Infographic,2023-12-28
Retargeting,Instagram,Desktop,156.44,3128,685,68,31.0,Product,2023-12-28
Retargeting,Instagram,Mobile,121.57,2431,940,94,61.0,Product,2023-12-28
Retargeting,Facebook News Feed,Desktop,123.0,2460,311,31,15.0,Lifestyle,2023-12-28
Retargeting,GDN,Desktop,70.79,1415,598,59,46.0,Product,2023-12-28
Prospecting,Facebook News Feed,Desktop,69.39,1734,516,25,31.0,Product,2023-12-28
Retargeting,Instagram,Desktop,101.49,2029,683,68,61.0,Lifestyle,2023-12-28
Retargeting,Facebook Audience Network,Desktop,79.98,1599,632,63,46.0,Infographic,2023-12-28
Prospecting,Facebook Audience Network,Desktop,104.01,2600,667,33,31.0,Product,2023-12-28
Retargeting,GDN,Mobile,128.21,2564,598,59,31.0,Infographic,2023-12-28
Prospecting,GDN,Desktop,72.0,1799,425,21,15.0,Lifestyle,2023-12-28
Prospecting,GDN,Mobile,106.76,2668,414,20,15.0,Product,2023-12-28
CRM,Instagram,Mobile,59.96,1319,134,9,15.0,Lifestyle,2023-12-28
Prospecting,Instagram,Mobile,118.84,2971,771,38,31.0,Infographic,2023-12-28
Retargeting,GDN,Desktop,102.89,2057,383,38,31.0,Lifestyle,2023-12-28
Prospecting,Facebook Audience Network,Desktop,88.64,2216,1055,52,46.0,Product,2023-12-28
Retargeting,Facebook Audience Network,Desktop,128.0,2559,539,53,46.0,Product,2023-12-28
Retargeting,Facebook Audience Network,Mobile,125.55,2511,486,48,31.0,Infographic,2023-12-28
Prospecting,Instagram,Mobile,87.66,2191,263,13,15.0,Infographic,2023-12-28
Retargeting,Facebook News Feed,Desktop,97.18,1943,141,14,15.0,Infographic,2023-12-28
Prospecting,Facebook Audience Network,Desktop,87.71,2192,29,1,15.0,Infographic,2023-12-28
CRM,Facebook Audience Network,Mobile,51.84,1140,129,9,15.0,Product,2023-12-28
CRM,Facebook Audience Network,Mobile,61.52,1353,69,4,15.0,Product,2023-12-28
CRM,GDN,Mobile,48.91,1075,118,8,15.0,Product,2023-12-28
Retargeting,Instagram,Desktop,64.38,1287,326,32,31.0,Lifestyle,2023-12-28
Retargeting,GDN,Mobile,101.01,2020,911,91,46.0,Lifestyle,2023-12-28
Prospecting,GDN,Mobile,98.93,2473,1093,54,46.0,Infographic,2023-12-28
Retargeting,Facebook News Feed,Mobile,118.52,2370,207,20,15.0,Infographic,2023-12-28
Prospecting,GDN,Desktop,78.77,1969,90,4,15.0,Infographic,2023-12-28
Prospecting,Facebook News Feed,Desktop,106.2,2655,119,5,15.0,Product,2023-12-28
Prospecting,GDN,Desktop,71.46,1786,206,10,15.0,Lifestyle,2023-12-28
Retargeting,Facebook Audience Network,Mobile,61.64,1232,405,40,31.0,Infographic,2023-12-28
Retargeting,Instagram,Mobile,56.36,1127,546,54,46.0,Infographic,2023-12-28
Retargeting,GDN,Mobile,76.38,1527,123,12,15.0,Product,2023-12-28
Retargeting,Facebook News Feed,Mobile,116.33,2326,111,11,15.0,Lifestyle,2023-12-28
CRM,Instagram,Desktop,53.65,1180,206,14,15.0,Infographic,2023-12-28
Retargeting,Facebook News Feed,Mobile,109.22,2184,982,98,61.0,Infographic,2023-12-28
Retargeting,Facebook Audience Network,Mobile,132.93,2658,613,61,31.0,Infographic,2023-12-28
Retargeting,GDN,Desktop,78.0,1559,385,38,31.0,Infographic,2023-12-28
Prospecting,Instagram,Mobile,87.18,2179,705,35,15.0,Lifestyle,2023-12-28
Prospecting,Facebook Audience Network,Mobile,88.08,2202,146,7,15.0,Lifestyle,2023-12-28
Retargeting,GDN,Mobile,82.79,1655,131,13,15.0,Infographic,2023-12-27
Retargeting,GDN,Desktop,127.08,2541,731,73,46.0,Product,2023-12-27
Retargeting,Facebook News Feed,Mobile,94.25,1884,849,84,61.0,Infographic,2023-12-27
Retargeting,Facebook News Feed,Desktop,92.32,1846,103,10,15.0,Product,2023-12-27
Prospecting,Facebook Audience Network,Mobile,111.67,2791,552,27,15.0,Infographic,2023-12-27
Prospecting,Facebook News Feed,Desktop,87.84,2196,567,28,15.0,Infographic,2023-12-27
Retargeting,Facebook Audience Network,Desktop,118.51,2370,761,76,46.0,Product,2023-12-27
Retargeting,Facebook Audience Network,Desktop,127.1,2541,1265,126,77.0,Infographic,2023-12-27
CRM,Facebook Audience Network,Mobile,53.5,1176,330,23,15.0,Lifestyle,2023-12-27
Retargeting,Facebook News Feed,Mobile,125.0,2499,943,94,61.0,Product,2023-12-27
Prospecting,Instagram,Desktop,72.47,1811,847,42,31.0,Lifestyle,2023-12-27
Retargeting,Facebook Audience Network,Desktop,89.11,1782,148,14,15.0,Product,2023-12-27
Retargeting,Instagram,Mobile,94.56,1891,168,16,15.0,Lifestyle,2023-12-27
Retargeting,GDN,Desktop,87.56,1751,556,55,31.0,Infographic,2023-12-27
Prospecting,Facebook News Feed,Mobile,92.33,2308,984,49,31.0,Infographic,2023-12-27
CRM,Facebook News Feed,Mobile,62.67,1378,83,5,15.0,Product,2023-12-27
Retargeting,Instagram,Desktop,90.18,1803,519,51,31.0,Lifestyle,2023-12-27
Retargeting,GDN,Desktop,113.49,2269,106,10,15.0,Infographic,2023-12-27
Retargeting,GDN,Mobile,94.5,1889,884,88,61.0,Lifestyle,2023-12-27
Retargeting,Facebook Audience Network,Mobile,93.44,1868,264,26,15.0,Lifestyle,2023-12-27
Retargeting,Facebook News Feed,Mobile,100.97,2019,657,65,31.0,Product,2023-12-27
Retargeting,GDN,Desktop,109.27,2185,30,3,15.0,Infographic,2023-12-27
Prospecting,GDN,Mobile,85.85,2146,246,12,15.0,Product,2023-12-27
Retargeting,Facebook Audience Network,Desktop,92.74,1854,925,92,46.0,Product,2023-12-27
Retargeting,Facebook Audience Network,Desktop,116.94,2338,23,2,15.0,Infographic,2023-12-27
CRM,Instagram,Mobile,57.78,1271,497,34,31.0,Lifestyle,2023-12-27
Retargeting,Facebook News Feed,Desktop,86.9,1738,853,85,31.0,Product,2023-12-27
CRM,GDN,Desktop,45.32,997,303,21,15.0,Infographic,2023-12-27
Retargeting,Instagram,Desktop,119.66,2393,315,31,31.0,Lifestyle,2023-12-27
CRM,Facebook News Feed,Desktop,60.12,1322,277,19,15.0,Lifestyle,2023-12-27
Prospecting,Instagram,Mobile,83.16,2079,541,27,31.0,Lifestyle,2023-12-27
CRM,Facebook News Feed,Mobile,70.46,1550,142,9,15.0,Product,2023-12-27
CRM,Facebook News Feed,Desktop,55.23,1214,409,28,31.0,Product,2023-12-27
Retargeting,GDN,Desktop,72.51,1450,355,35,31.0,Infographic,2023-12-27
CRM,Facebook News Feed,Desktop,60.7,1335,523,36,31.0,Lifestyle,2023-12-27
Retargeting,Facebook Audience Network,Desktop,106.16,2123,249,24,15.0,Lifestyle,2023-12-27
Retargeting,GDN,Desktop,94.74,1894,102,10,15.0,Infographic,2023-12-27
Retargeting,Facebook Audience Network,Mobile,129.47,2589,34,3,15.0,Lifestyle,2023-12-27
Prospecting,Instagram,Mobile,42.71,1067,323,16,15.0,Lifestyle,2023-12-27
Retargeting,Instagram,Mobile,122.4,2448,531,53,31.0,Infographic,2023-12-27
Prospecting,Facebook News Feed,Mobile,91.87,2296,558,27,31.0,Infographic,2023-12-27
Prospecting,Facebook News Feed,Desktop,86.85,2171,1076,53,46.0,Product,2023-12-27
Prospecting,Facebook Audience Network,Desktop,29.96,749,272,13,15.0,Product,2023-12-27
CRM,Facebook Audience Network,Mobile,72.84,1602,17,1,15.0,Product,2023-12-27
Retargeting,Facebook Audience Network,Mobile,79.47,1589,103,10,15.0,Infographic,2023-12-27
Retargeting,Instagram,Mobile,89.85,1796,151,15,15.0,Product,2023-12-27
Retargeting,Facebook Audience Network,Desktop,96.59,1931,839,83,61.0,Lifestyle,2023-12-27
Retargeting,GDN,Desktop,108.15,2162,1015,101,46.0,Product,2023-12-27
Retargeting,GDN,Desktop,112.79,2255,872,87,61.0,Product,2023-12-27
Retargeting,Instagram,Mobile,117.86,2357,1107,110,46.0,Product,2023-12-27
Retargeting,Facebook Audience Network,Mobile,116.32,2326,548,54,46.0,Infographic,2023-12-26
CRM,Facebook Audience Network,Desktop,62.53,1375,378,26,31.0,Lifestyle,2023-12-26
Prospecting,Facebook News Feed,Desktop,86.24,2155,457,22,15.0,Infographic,2023-12-26
Retargeting,GDN,Desktop,78.18,1563,352,35,15.0,Lifestyle,2023-12-26
Prospecting,Instagram,Mobile,68.73,1718,663,33,31.0,Product,2023-12-26
Retargeting,Facebook Audience Network,Desktop,117.91,2358,375,37,31.0,Product,2023-12-26
Retargeting,Facebook News Feed,Desktop,116.74,2334,207,20,15.0,Lifestyle,2023-12-26
Prospecting,Instagram,Mobile,90.86,2271,459,22,31.0,Infographic,2023-12-26
Retargeting,Instagram,Desktop,89.71,1794,403,40,31.0,Infographic,2023-12-26
Retargeting,GDN,Desktop,118.21,2364,529,52,31.0,Product,2023-12-26
CRM,Facebook Audience Network,Desktop,48.39,1064,484,33,15.0,Lifestyle,2023-12-26
CRM,Instagram,Desktop,70.77,1557,121,8,15.0,Lifestyle,2023-12-26
Prospecting,Facebook News Feed,Mobile,76.09,1902,793,39,31.0,Lifestyle,2023-12-26
Prospecting,Facebook News Feed,Desktop,105.26,2631,1143,57,31.0,Lifestyle,2023-12-26
Prospecting,Instagram,Mobile,57.18,1429,250,12,15.0,Product,2023-12-26
Retargeting,Facebook News Feed,Desktop,135.27,2705,1322,132,108.0,Infographic,2023-12-26
Retargeting,Instagram,Mobile,92.77,1855,46,4,15.0,Product,2023-12-26
Retargeting,Facebook News Feed,Desktop,92.41,1848,596,59,46.0,Lifestyle,2023-12-26
Retargeting,Instagram,Desktop,103.9,2077,895,89,77.0,Infographic,2023-12-26
Prospecting,Instagram,Mobile,69.54,1738,671,33,31.0,Product,2023-12-26
Retargeting,Instagram,Desktop,98.55,1971,518,51,46.0,Lifestyle,2023-12-26
CRM,Facebook News Feed,Desktop,52.62,1157,244,17,15.0,Product,2023-12-26
CRM,Instagram,Mobile,52.99,1165,217,15,15.0,Lifestyle,2023-12-26
Prospecting,GDN,Desktop,87.3,2182,762,38,31.0,Product,2023-12-26
Prospecting,Instagram,Desktop,66.48,1661,343,17,15.0,Product,2023-12-26
CRM,Facebook Audience Network,Desktop,52.32,1150,313,21,15.0,Product,2023-12-26
Retargeting,Facebook Audience Network,Desktop,72.54,1450,692,69,46.0,Lifestyle,2023-12-26
Prospecting,GDN,Desktop,72.44,1811,603,30,15.0,Infographic,2023-12-26
Retargeting,Instagram,Mobile,126.23,2524,289,28,15.0,Infographic,2023-12-26
Prospecting,Facebook Audience Network,Mobile,67.31,1682,601,30,31.0,Lifestyle,2023-12-26
Retargeting,Instagram,Desktop,85.37,1707,196,19,15.0,Infographic,2023-12-26
CRM,Facebook Audience Network,Desktop,61.94,1362,577,40,31.0,Infographic,2023-12-26
CRM,Facebook News Feed,Mobile,56.29,1238,415,29,15.0,Product,2023-12-26
Retargeting,Facebook News Feed,Mobile,144.56,2891,609,60,31.0,Product,2023-12-26
Retargeting,GDN,Mobile,96.75,1934,305,30,15.0,Lifestyle,2023-12-26
CRM,GDN,Mobile,63.35,1393,477,33,31.0,Lifestyle,2023-12-26
Retargeting,Instagram,Mobile,118.88,2377,535,53,46.0,Product,2023-12-26
CRM,GDN,Mobile,69.25,1523,219,15,15.0,Lifestyle,2023-12-26
Prospecting,Instagram,Desktop,83.5,2087,756,37,15.0,Lifestyle,2023-12-26
Retargeting,Facebook News Feed,Desktop,96.78,1935,625,62,31.0,Infographic,2023-12-26
Retargeting,Facebook News Feed,Desktop,140.48,2809,1013,101,46.0,Lifestyle,2023-12-26
Retargeting,Facebook Audience Network,Desktop,98.0,1960,777,77,61.0,Lifestyle,2023-12-26
Prospecting,Instagram,Desktop,73.37,1834,901,45,15.0,Product,2023-12-26
Retargeting,Facebook News Feed,Mobile,87.08,1741,353,35,31.0,Lifestyle,2023-12-26
Prospecting,Facebook News Feed,Mobile,54.1,1352,234,11,15.0,Product,2023-12-26
Retargeting,Instagram,Mobile,116.43,2328,305,30,31.0,Lifestyle,2023-12-26
Prospecting,Facebook Audience Network,Mobile,44.78,1119,109,5,15.0,Infographic,2023-12-26
CRM,Facebook Audience Network,Mobile,59.94,1318,313,21,15.0,Product,2023-12-26
CRM,Facebook Audience Network,Mobile,57.95,1274,12,5,15.0,Lifestyle,2023-12-26
Retargeting,Facebook Audience Network,Desktop,144.8,2895,826,82,46.0,Lifestyle,2023-12-26
CRM,Facebook News Feed,Desktop,41.68,917,166,11,15.0,Infographic,2023-12-25
Prospecting,Instagram,Mobile,66.48,1662,52,2,15.0,Lifestyle,2023-12-25
Prospecting,Instagram,Desktop,77.96,1948,185,9,15.0,Infographic,2023-12-25
CRM,Facebook News Feed,Mobile,58.02,1276,275,19,15.0,Product,2023-12-25
Retargeting,Facebook News Feed,Desktop,89.01,1780,446,44,31.0,Product,2023-12-25
Retargeting,Facebook News Feed,Mobile,98.38,1967,351,35,31.0,Lifestyle,2023-12-25
CRM,GDN,Mobile,47.4,1042,9,5,15.0,Product,2023-12-25
Retargeting,Instagram,Desktop,107.14,2142,409,40,31.0,Infographic,2023-12-25
CRM,Instagram,Mobile,36.79,809,146,10,15.0,Infographic,2023-12-25
CRM,Instagram,Desktop,59.74,1314,476,33,31.0,Lifestyle,2023-12-25
Retargeting,Facebook Audience Network,Desktop,87.99,1759,828,82,46.0,Infographic,2023-12-25
CRM,Facebook News Feed,Mobile,70.16,1543,629,44,31.0,Infographic,2023-12-25
Retargeting,Facebook News Feed,Mobile,135.11,2702,851,85,61.0,Infographic,2023-12-25
Prospecting,Facebook News Feed,Mobile,75.03,1875,427,21,15.0,Lifestyle,2023-12-25
Prospecting,GDN,Desktop,100.86,2521,487,24,15.0,Product,2023-12-25
CRM,Instagram,Desktop,56.84,1250,529,37,15.0,Infographic,2023-12-25
Retargeting,Facebook News Feed,Mobile,80.68,1613,376,37,31.0,Product,2023-12-25
Retargeting,GDN,Mobile,134.92,2698,1135,113,46.0,Product,2023-12-25
Prospecting,Facebook News Feed,Mobile,87.81,2195,583,29,31.0,Lifestyle,2023-12-25
Prospecting,Facebook Audience Network,Mobile,80.07,2001,655,32,15.0,Lifestyle,2023-12-25
Prospecting,Instagram,Mobile,90.31,2257,615,30,15.0,Product,2023-12-25
Retargeting,GDN,Mobile,105.48,2109,214,21,15.0,Lifestyle,2023-12-25
Retargeting,Facebook News Feed,Mobile,98.62,1972,509,50,31.0,Product,2023-12-25
Retargeting,Instagram,Desktop,73.47,1469,510,51,46.0,Infographic,2023-12-25
CRM,GDN,Desktop,57.29,1260,588,41,31.0,Product,2023-12-25
Retargeting,Instagram,Mobile,112.47,2249,25,2,15.0,Product,2023-12-25
Retargeting,Instagram,Mobile,97.54,1950,741,74,61.0,Infographic,2023-12-25
CRM,Facebook Audience Network,Desktop,69.02,1518,192,13,15.0,Lifestyle,2023-12-25
Retargeting,Instagram,Mobile,107.67,2153,102,10,15.0,Product,2023-12-25
CRM,GDN,Desktop,51.22,1126,204,14,15.0,Lifestyle,2023-12-25
Prospecting,Instagram,Desktop,60.21,1505,410,20,15.0,Infographic,2023-12-25
CRM,GDN,Mobile,58.43,1285,50,3,15.0,Product,2023-12-25
Retargeting,Instagram,Desktop,89.52,1790,130,13,15.0,Product,2023-12-25
Retargeting,Facebook News Feed,Desktop,106.73,2134,342,34,31.0,Product,2023-12-25
Prospecting,Facebook Audience Network,Mobile,69.23,1730,577,28,31.0,Product,2023-12-25
CRM,Facebook News Feed,Mobile,53.85,1184,399,27,31.0,Lifestyle,2023-12-25
Prospecting,Facebook Audience Network,Desktop,95.8,2394,201,10,15.0,Lifestyle,2023-12-25
Retargeting,GDN,Mobile,102.96,2059,299,29,15.0,Infographic,2023-12-25
Prospecting,Facebook Audience Network,Desktop,69.46,1736,145,7,15.0,Lifestyle,2023-12-25
Prospecting,Instagram,Desktop,80.26,2006,769,38,31.0,Product,2023-12-25
Prospecting,Instagram,Desktop,100.68,2517,461,23,15.0,Infographic,2023-12-25
Prospecting,Facebook News Feed,Desktop,84.41,2110,915,45,31.0,Product,2023-12-25
CRM,Facebook Audience Network,Desktop,65.93,1450,503,35,31.0,Product,2023-12-25
Prospecting,GDN,Desktop,68.72,1717,615,30,15.0,Infographic,2023-12-25
Retargeting,GDN,Mobile,120.53,2410,150,15,15.0,Product,2023-12-25
Retargeting,Instagram,Mobile,146.36,2927,1339,133,61.0,Product,2023-12-25
Retargeting,GDN,Mobile,84.17,1683,198,19,15.0,Infographic,2023-12-25
Retargeting,Instagram,Mobile,76.36,1527,428,42,31.0,Lifestyle,2023-12-25
Retargeting,Instagram,Desktop,103.51,2070,302,30,15.0,Infographic,2023-12-25
Retargeting,Instagram,Desktop,117.51,2350,903,90,61.0,Infographic,2023-12-25
Retargeting,Facebook News Feed,Desktop,98.17,1963,497,49,46.0,Infographic,2023-12-24
Retargeting,Facebook News Feed,Desktop,78.94,1578,104,10,15.0,Lifestyle,2023-12-24
CRM,Instagram,Desktop,58.91,1296,9,5,15.0,Infographic,2023-12-24
CRM,Instagram,Mobile,65.98,1451,624,43,31.0,Lifestyle,2023-12-24
Retargeting,Instagram,Mobile,91.86,1837,26,2,15.0,Product,2023-12-24
CRM,GDN,Mobile,66.07,1453,610,42,31.0,Infographic,2023-12-24
Prospecting,Instagram,Desktop,97.47,2436,768,38,31.0,Product,2023-12-24
Retargeting,Instagram,Desktop,104.8,2096,326,32,15.0,Product,2023-12-24
Retargeting,Facebook Audience Network,Mobile,99.44,1988,494,49,46.0,Lifestyle,2023-12-24
Prospecting,Facebook Audience Network,Desktop,92.44,2311,882,44,31.0,Product,2023-12-24
Prospecting,Facebook Audience Network,Desktop,67.16,1678,647,32,31.0,Product,2023-12-24
Prospecting,Facebook Audience Network,Mobile,65.68,1641,737,36,31.0,Infographic,2023-12-24
Retargeting,Instagram,Desktop,94.67,1893,126,12,15.0,Product,2023-12-24
Retargeting,Facebook Audience Network,Mobile,90.16,1803,115,11,15.0,Infographic,2023-12-24
Retargeting,GDN,Mobile,83.93,1678,801,80,46.0,Product,2023-12-24
Retargeting,GDN,Mobile,136.61,2732,170,17,15.0,Lifestyle,2023-12-24
Retargeting,Facebook Audience Network,Mobile,143.44,2868,211,21,15.0,Product,2023-12-24
Retargeting,Facebook News Feed,Desktop,92.93,1858,923,92,61.0,Lifestyle,2023-12-24
CRM,GDN,Desktop,60.92,1340,188,13,15.0,Infographic,2023-12-24
CRM,GDN,Desktop,58.12,1278,489,34,31.0,Infographic,2023-12-24
Retargeting,Facebook Audience Network,Mobile,122.15,2442,932,93,46.0,Product,2023-12-24
CRM,Facebook Audience Network,Desktop,73.06,1607,386,27,31.0,Product,2023-12-24
Retargeting,Instagram,Mobile,64.45,1289,600,60,46.0,Infographic,2023-12-24
Retargeting,GDN,Desktop,109.52,2190,22,2,15.0,Infographic,2023-12-24
Retargeting,Facebook Audience Network,Desktop,73.86,1477,178,17,15.0,Infographic,2023-12-24
Prospecting,Facebook Audience Network,Mobile,106.37,2659,400,20,15.0,Lifestyle,2023-12-24
CRM,Instagram,Desktop,64.4,1416,504,35,31.0,Product,2023-12-24
Prospecting,GDN,Mobile,67.65,1691,410,20,15.0,Infographic,2023-12-24
Retargeting,Facebook Audience Network,Mobile,95.17,1903,531,53,31.0,Infographic,2023-12-24
Prospecting,Instagram,Desktop,75.67,1891,328,16,15.0,Product,2023-12-24
Retargeting,Facebook Audience Network,Desktop,110.5,2210,470,47,31.0,Product,2023-12-24
CRM,Facebook News Feed,Desktop,70.42,1549,419,29,15.0,Lifestyle,2023-12-24
Prospecting,Facebook News Feed,Desktop,62.78,1569,411,20,15.0,Infographic,2023-12-24
Retargeting,Facebook Audience Network,Mobile,136.78,2735,753,75,46.0,Product,2023-12-24
Prospecting,GDN,Mobile,104.09,2602,28,1,15.0,Lifestyle,2023-12-24
Prospecting,Facebook News Feed,Desktop,66.87,1671,244,12,15.0,Infographic,2023-12-24
Retargeting,Instagram,Desktop,101.46,2029,631,63,46.0,Lifestyle,2023-12-24
Prospecting,Facebook Audience Network,Desktop,105.66,2641,937,46,31.0,Product,2023-12-24
Retargeting,Instagram,Mobile,124.66,2493,825,82,31.0,Lifestyle,2023-12-24
Prospecting,Facebook News Feed,Desktop,74.95,1873,885,44,31.0,Infographic,2023-12-24
CRM,GDN,Mobile,68.14,1499,543,38,15.0,Product,2023-12-24
CRM,Instagram,Desktop,89.97,1979,651,45,31.0,Infographic,2023-12-24
Prospecting,Facebook News Feed,Desktop,81.58,2039,669,33,31.0,Lifestyle,2023-12-24
Prospecting,Facebook News Feed,Mobile,70.51,1762,59,2,15.0,Lifestyle,2023-12-24
Retargeting,Facebook News Feed,Mobile,103.45,2068,138,13,15.0,Lifestyle,2023-12-24
Prospecting,Instagram,Desktop,83.7,2092,356,17,15.0,Product,2023-12-24
Retargeting,Facebook News Feed,Mobile,89.51,1790,211,21,31.0,Lifestyle,2023-12-24
Retargeting,Facebook Audience Network,Mobile,108.83,2176,485,48,31.0,Product,2023-12-24
Retargeting,Facebook News Feed,Desktop,74.91,1498,492,49,31.0,Lifestyle,2023-12-24
Retargeting,Facebook Audience Network,Mobile,86.69,1733,335,33,31.0,Lifestyle,2023-12-24
Prospecting,GDN,Mobile,91.37,2284,177,8,15.0,Product,2023-12-23
Retargeting,Facebook Audience Network,Desktop,64.9,1298,512,51,46.0,Product,2023-12-23
Prospecting,GDN,Desktop,93.55,2338,112,5,15.0,Product,2023-12-23
Retargeting,GDN,Mobile,59.76,1195,282,28,15.0,Infographic,2023-12-23
Retargeting,Facebook Audience Network,Desktop,65.37,1307,115,11,15.0,Lifestyle,2023-12-23
Prospecting,GDN,Mobile,72.52,1812,543,27,15.0,Infographic,2023-12-23
Retargeting,Facebook Audience Network,Mobile,105.74,2114,40,4,15.0,Lifestyle,2023-12-23
Retargeting,Instagram,Mobile,126.51,2530,931,93,77.0,Lifestyle,2023-12-23
Prospecting,GDN,Desktop,80.86,2021,166,8,15.0,Lifestyle,2023-12-23
Retargeting,Facebook Audience Network,Mobile,95.07,1901,854,85,31.0,Lifestyle,2023-12-23
CRM,GDN,Mobile,65.8,1447,220,15,15.0,Infographic,2023-12-23
Retargeting,Facebook News Feed,Mobile,82.58,1651,725,72,61.0,Lifestyle,2023-12-23
Retargeting,Facebook Audience Network,Desktop,102.79,2055,312,31,31.0,Infographic,2023-12-23
Prospecting,Facebook News Feed,Desktop,62.01,1550,345,17,15.0,Product,2023-12-23
Retargeting,GDN,Desktop,101.65,2033,470,47,31.0,Infographic,2023-12-23
Retargeting,GDN,Mobile,97.4,1948,130,13,15.0,Lifestyle,2023-12-23
Retargeting,Instagram,Mobile,83.91,1678,47,4,15.0,Infographic,2023-12-23
Retargeting,Facebook Audience Network,Desktop,103.3,2066,133,13,15.0,Infographic,2023-12-23
CRM,Facebook News Feed,Mobile,61.59,1354,518,36,31.0,Product,2023-12-23
Retargeting,Instagram,Mobile,123.51,2470,998,99,77.0,Product,2023-12-23
Prospecting,GDN,Mobile,55.92,1397,316,15,15.0,Product,2023-12-23
CRM,GDN,Mobile,59.24,1303,437,30,31.0,Lifestyle,2023-12-23
Retargeting,Instagram,Desktop,84.79,1695,434,43,15.0,Infographic,2023-12-23
CRM,Facebook News Feed,Desktop,68.7,1511,85,5,15.0,Infographic,2023-12-23
Retargeting,GDN,Desktop,115.08,2301,1071,107,61.0,Product,2023-12-23
CRM,GDN,Mobile,65.08,1431,489,34,31.0,Lifestyle,2023-12-23
Retargeting,Facebook Audience Network,Mobile,85.92,1718,828,82,61.0,Lifestyle,2023-12-23
Prospecting,Instagram,Desktop,93.28,2332,423,21,15.0,Lifestyle,2023-12-23
Retargeting,GDN,Desktop,69.4,1387,386,38,31.0,Product,2023-12-23
Retargeting,Facebook News Feed,Desktop,65.29,1305,239,23,15.0,Lifestyle,2023-12-23
Prospecting,Facebook Audience Network,Mobile,60.86,1521,663,33,15.0,Lifestyle,2023-12-23
Prospecting,Instagram,Desktop,79.5,1987,450,22,15.0,Lifestyle,2023-12-23
Retargeting,Facebook News Feed,Mobile,113.5,2270,257,25,15.0,Product,2023-12-23
Retargeting,GDN,Desktop,40.48,809,43,4,15.0,Product,2023-12-23
Prospecting,Instagram,Mobile,99.84,2496,1191,59,31.0,Infographic,2023-12-23
Prospecting,Instagram,Mobile,81.97,2049,786,39,31.0,Infographic,2023-12-23
CRM,Facebook News Feed,Desktop,44.32,975,190,13,15.0,Infographic,2023-12-23
Prospecting,Instagram,Mobile,81.51,2037,663,33,31.0,Product,2023-12-23
CRM,Facebook News Feed,Mobile,70.93,1560,561,39,31.0,Infographic,2023-12-23
Prospecting,GDN,Desktop,88.99,2224,1006,50,31.0,Lifestyle,2023-12-23
Retargeting,Facebook Audience Network,Desktop,121.98,2439,753,75,61.0,Product,2023-12-23
Retargeting,Facebook News Feed,Desktop,72.68,1453,104,10,15.0,Product,2023-12-23
Prospecting,Facebook Audience Network,Mobile,73.79,1844,420,21,15.0,Infographic,2023-12-23
Prospecting,Instagram,Mobile,66.13,1653,348,17,15.0,Lifestyle,2023-12-23
Retargeting,Facebook News Feed,Desktop,134.35,2687,953,95,77.0,Lifestyle,2023-12-23
Retargeting,GDN,Desktop,112.79,2255,694,69,61.0,Product,2023-12-23
CRM,Facebook News Feed,Mobile,88.47,1946,56,3,15.0,Product,2023-12-23
Prospecting,Facebook News Feed,Desktop,72.99,1824,239,11,15.0,Infographic,2023-12-23
Retargeting,Facebook News Feed,Desktop,85.51,1710,426,42,31.0,Lifestyle,2023-12-23
Retargeting,Facebook Audience Network,Mobile,97.14,1942,616,61,31.0,Product,2023-12-23
Retargeting,Facebook Audience Network,Mobile,127.57,2551,576,57,31.0,Lifestyle,2023-12-22
Retargeting,Instagram,Desktop,92.68,1853,139,13,15.0,Product,2023-12-22
Retargeting,Instagram,Mobile,102.49,2049,61,6,15.0,Infographic,2023-12-22
Retargeting,Instagram,Mobile,101.93,2038,151,15,15.0,Product,2023-12-22
Prospecting,Instagram,Desktop,80.59,2014,129,6,15.0,Product,2023-12-22
Retargeting,Facebook News Feed,Desktop,86.95,1739,430,43,31.0,Product,2023-12-22
CRM,Facebook Audience Network,Desktop,58.63,1289,637,44,46.0,Infographic,2023-12-22
CRM,Facebook Audience Network,Mobile,58.2,1280,439,30,15.0,Infographic,2023-12-22
Retargeting,Facebook Audience Network,Desktop,99.85,1996,211,21,15.0,Infographic,2023-12-22
Prospecting,Facebook Audience Network,Mobile,94.15,2353,399,19,15.0,Product,2023-12-22
Retargeting,Instagram,Desktop,135.21,2704,673,67,31.0,Product,2023-12-22
